,Class,Label,Definition
587,digitrubber#DIGITRUBBER_000563,Oil Absorption Number [dik],The oil absorption number of a carbon black is related to the processing and vulcanizate properties of rubber compounds containing the carbon black
588,digitrubber#DIGITRUBBER_000564,Kinematic Viscosity [dik],Kinematic viscosity is the quotient of the dynamic viscosity of the medium and its density.
589,digitrubber#DIGITRUBBER_000565,Kinematic Viscosity [uo],"The ratio of the dynamic viscosity (μ) over the density of the fluid (ρ), which is noted as (length)^2/time. https://en.wikipedia.org/wiki/Viscosity#Kinematic_viscosity"
590,digitrubber#DIGITRUBBER_000568,Molecular Weight [mi],"Molecular weight in g/mol, determined from molecular formula or sequence."
591,digitrubber#DIGITRUBBER_000572,Complex Shear Modulus [dik],"ratio of the shear stress to the shear strain, where each can be represented by a complex number"
592,digitrubber#DIGITRUBBER_000573,Complex Young’s Modulus [dik],"ratio of the normal stress to the normal strain, where each can be represented by a complex number"
593,digitrubber#DIGITRUBBER_000574,Elastic Shear Modulus [dik],"that component of an applied shear stress which is in phase with the shear strain, divided by the strain"
594,digitrubber#DIGITRUBBER_000575,Elastic Young’s Modulus [dik],"that component of an applied normal stress which is in phase with the normal strain, divided by the strain"
595,digitrubber#DIGITRUBBER_000576,Loss Shear Modulus [dik],"that component of an applied shear stress which is in quadrature (90° out of phase) with the shear strain, divided by the strain"
596,digitrubber#DIGITRUBBER_000577,Loss Young’s Modulus [dik],"that component of an applied normal stress which is in quadrature (90° out of phase) with the normal strain, divided by the strain"
597,digitrubber#DIGITRUBBER_000578,Modulus [dik],measure of stiffness under specified conditions of deformation
598,digitrubber#DIGITRUBBER_000579,Tan Delta [dik],ratio of the viscous modulus to the elastic modulus
599,digitrubber#DIGITRUBBER_000583,Oscillating-Disc Curemeter [dik],type of curemeter in which the force applied to the rubber compound is produced by an oscillating disc embedded in a test sample which is contained under pressure in a sealed cavity
600,digitrubber#DIGITRUBBER_000584,Rotorless Curemeter [dik],type of curemeter in which the force applied to the rubber compound is produced by the oscillation of one of the two dies forming the cavity in which the test sample is enclosed
601,digitrubber#DIGITRUBBER_000585,Vulcameter [dik],device that measures the progress of vulcanization in a test sample at the vulcanizing temperature
602,digitrubber#DIGITRUBBER_000586,Platen Press [dik],press having two or more super-imposed heated platens between which moulds are pressed
603,digitrubber#DIGITRUBBER_000587,Platen [dik],flat metal plate (or chest) which applies heat and pressure to one or more mould(s) in a press
604,digitrubber#DIGITRUBBER_000589,Concentration Measurement Assay [dik],"An assay with the objective to produce information about the concentration of a specific substance in the material entity that is the evaluant, by physically examining it or its proxies."
605,digitrubber#DIGITRUBBER_000590,Ethylene Concentration Measurement Assay [dik],"A concentration measurement assay with the objective to produce information about the concentration of ethylene in the material entity that is the evaluant, by physically examining it or its proxies."
606,digitrubber#DIGITRUBBER_000591,Ethylidene Norbornene Concentration Measurement Assay [dik],"A concentration measurement assay with the objective to produce information about the concentration of ethylidene norbornene in the material entity that is the evaluant, by physically examining it or its proxies."
607,digitrubber#DIGITRUBBER_000592,Molecular Weight Distribution Measurement Assay [dik],"An assay with the objective to produce information about the molecular weight distribution of the material entity that is the evaluant, by physically examining it or its proxies."
608,digitrubber#DIGITRUBBER_000593,Concentration Measurement Protocol [dik],A measurement protocol for reliably reproducing the concentration measurement assay.
609,digitrubber#DIGITRUBBER_000594,Ethylene Concentration Measurement Protocol [dik],A concentration measurement protocol for reliably reproducing the ethylene concentration measurement assay.
610,digitrubber#DIGITRUBBER_000595,Ethylidene Norbornene Concentration Measurement Protocol [dik],A concentration measurement protocol for reliably reproducing the ethylidene norbornene concentration measurement assay.
611,digitrubber#DIGITRUBBER_000596,Molecular Weight Distribution Measurement Protocol [dik],A measurement protocol for reliably reproducing the molecular weight distribution measurement assay.
612,digitrubber#DIGITRUBBER_000601,organodiyl group [chebi],"Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s)."
613,digitrubber#DIGITRUBBER_000604,organic group [chebi],Any substituent group or skeleton containing carbon.
614,digitrubber#DIGITRUBBER_000606,group [ncit],Any number of entities (members) considered as a unit.
615,digitrubber#DIGITRUBBER_000607,group [chebi],A defined linked collection of atoms or a single atom within a molecular entity.
616,digitrubber#DIGITRUBBER_000610,Percent [uo],"""A dimensionless ratio unit which denotes numbers as fractions of 100."" [Wikipedia:Wikipedia]"
617,digitrubber#DIGITRUBBER_000611,Percent [om],The percent is a unit of dimension one defined as 1/100.
618,digitrubber#DIGITRUBBER_000613,Ratio [ncit],Quotient of quantities of the same kind for different components within the same system.
619,digitrubber#DIGITRUBBER_000614,Ratio [uo],"""A dimensionless ratio unit which, given a pair of quantities a and b, for which b is a multiple of a, denotes b by giving the multiplier (coefficient) c for a to result in b."" [UOB:LKSR]"
620,digitrubber#DIGITRUBBER_000615,Ratio [uo],"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]"
621,digitrubber#DIGITRUBBER_000616,Ratio [ms],"A ratio is a data item which is formed with two numbers r and s is written r/s, where r is the numerator and s is the denominator. The ratio of r to s is equivalent to the quotient r/s."
622,digitrubber#DIGITRUBBER_000618,Dimensionless Unit [ms],"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]"
623,digitrubber#DIGITRUBBER_000620,Mass Percentage [uo],"""A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture."" [Wikipedia:Wikipedia]"
624,digitrubber#DIGITRUBBER_000622,Volume Percentage [uo],"""A dimensionless concentration unit which denotes the volume of the solute in mL per 100 mL of the resulting solution."" [UOC:GVG]"
625,digitrubber#DIGITRUBBER_000624,Concrentration [pato],A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.
626,digitrubber#DIGITRUBBER_000625,Concrentration [edam],The concentration of a chemical compound.
627,digitrubber#DIGITRUBBER_000626,Concrentration [chmo],Experimental method output expressing the contribution of one constituent to the composition of a mixture.
628,digitrubber#DIGITRUBBER_000627,Concrentration [ncit],"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts."
629,digitrubber#DIGITRUBBER_000628,Concrentration [ecso],the strength of a solution; number of molecules of a substance in a given volume
630,digitrubber#DIGITRUBBER_000630,Molecular Quality [pato],"A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc."
631,digitrubber#DIGITRUBBER_000631,Ethylene Concentration [dik],A concentration of ethylene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylene.
632,digitrubber#DIGITRUBBER_000632,Ethylidene Norbornene Concentration [dik],A concentration of ethylidene norbornene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylidene norbornene.
633,digitrubber#DIGITRUBBER_000635,Quality of a Solid [pato],A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.
634,digitrubber#DIGITRUBBER_000637,Optical Quality [pato],An EM radiation quality in which the EM radiation is within the fiat range of the spectrum visible deemed to be light.
635,digitrubber#DIGITRUBBER_000638,Standard Normal Variate (SNV) [ifnano],Is a transformation applied to spectroscopic data to remove scatter effects by centering and scalling each individual spectrum.
636,digitrubber#DIGITRUBBER_000639,Smmothing [ifnano],Removing noise or spikes in correlated data such as spectroscopic data using a row-oriented transformation.
637,digitrubber#DIGITRUBBER_000640,Normalization [ifnano],Scaling spectra in order to get all data on approximately the same scale.
638,digitrubber#DIGITRUBBER_000641,Prediction [ifnano],Estimation of unknown response values using a regression model.
639,digitrubber#DIGITRUBBER_000642,Butadiene rubber BR [ifnano],"Polybutadiene [butadiene rubber BR] is a synthetic rubber. Polybutadiene rubber is a polymer formed from the polymerization of the monomer 1,3-butadiene. Polybutadiene has a high resistance to wear and is used especially in the manufacture of tires."
640,digitrubber#DIGITRUBBER_000643,Functional group [ifnano],"An atom or group of atoms within a molecule that has similar chemical properties whenever it appears in various compounds. Even if other parts of the molecule are quite different, certain functional groups tend to react in certain ways."
641,digitrubber#DIGITRUBBER_000644,Butyl rubber BIIR [ifnano],"Is a synthetic rubber, a copolymer of isobutylene with isoprene"
642,digitrubber#DIGITRUBBER_000645,EPDM rubber [ifnano],"EPDM rubber (ethylene propylene diene monomer rubber) is a type of synthetic rubber that is composed of ethylidene norbornene (ENB), dicyclopentadiene (DCPD), and vinyl norbornene (VNB)."
643,digitrubber#DIGITRUBBER_000646,Polyisoprene IR [ifnano],"A synthetic cis-1,4-polyisoprene, made by the industrial polymerisation of isoprene."
644,digitrubber#DIGITRUBBER_000647,Nitrile rubber NBR [ifnano],"Known as nitrile butadiene rubber and acrylonitrile butadiene rubber, is a synthetic rubber derived from acrylonitrile (ACN) and butadiene."
645,digitrubber#DIGITRUBBER_000648,Fluororubber FKM [ifnano],Is a family of fluorocarbon-based fluoroelastomer materials that contain vinylidene fluoride as a monomer.
646,digitrubber#DIGITRUBBER_000649,Hydrogenated Nitrile rubber HNBR [ifnano],"Highly Saturated Nitrile. A Higher performance solid rubber material than NBR, achieved through adding Hydrogen Atoms to the Butadiene Segments."
647,digitrubber#DIGITRUBBER_000650,Styrene-butadiene rubber SBR [ifnano],Families of synthetic rubbers derived from styrene and butadiene.
648,digitrubber#DIGITRUBBER_000651,acidity [pato],A concentration quality inhering in a bearer by virtue of the bearer's containing acid (hydrogen ions).
649,digitrubber#ROi3BNAY7lNum6bqHYNnKv,template class,provide a human-readable definition of the type of entity the class refers to
